"","AEW541","Nilotinib","X17.AAG","PHA.665752","Lapatinib","Nutlin.3","AZD0530","PF2341066","L.685458","ZD.6474","Panobinostat","Sorafenib","Irinotecan","Topotecan","LBW242","PD.0325901","PD.0332991","Paclitaxel","AZD6244","PLX4720","RAF265","TAE684","TKI258","Erlotinib"
"A2058",1.0006,0.02046,4.747,0.2003,0.1202,0.1101,0.793,0.5221,0.06193,1.3466,4.3673,0.05127,3.5949,3.1484,1.1989,2.4465,0,7.1679,1.8154,0.7129,0.9206,0.8825,0.858,0
"C32",0.8161,0.1393,6.5863,0.1914,0,0,0,0.261,0.04038,0.4507,2.4495,0.3158,2.0384,2.2885,0.4908,3.2117,0.07469,3.1892,1.8523,1.2483,1.1826,0.6679,0.3908,0.286
"HT1197",1.5118,0.06098,1.8151,0.008045,0.3532,0.3538,0.7165,0.2529,0.04266,1.0391,4.3308,0.1303,1.3475,0.7309,0.358,2.0249,0,1.967,1.1711,0,1.8252,1.032,0.6075,0.2642
"MDAMB157",0.7972,0.6589,0.8792,0.01494,0.1138,0.4724,0.5788,1.1257,0.4268,0.4384,4.2399,0.5498,NA,3.6195,1.1144,0.751,0.1157,3.8675,0.6353,0.0486,1.9967,1.1916,1.4616,0.2684
"HT29",1.8932,0.4398,5.3135,0.2648,0.8029,0.3962,0.9439,0.5708,0.1403,1.2904,4.5754,0.658,3.1076,2.4461,0.1759,4.683,0.343,6.2246,4.148,1.6266,2.0208,2.1444,0.9653,0
"AU565",0.7651,0.873,4.2668,0.3374,3.5677,0.1964,0.2328,0.7979,0.8391,1.1876,5.0888,0.6273,NA,3.8426,0.7937,0.04551,0.9007,6.6977,0.09979,0.6038,1.5268,0.1526,0.7107,0.491
"NCIH441",1.1125,0.1257,2.8905,0.2391,0.4346,0.6243,0.7499,0.455,0.03189,0.8277,3.8005,0.2335,3.3047,2.5101,0.12,1.6923,0.5023,4.4553,1.6292,0.1424,0.9033,1.205,0.5299,0.3066
"SW1088",0.09182,0.6276,2.8038,0.03335,0.7047,0,0.2863,0.2437,0.3489,0.2384,2.9392,0.0797,NA,0.777,0.02371,0.03729,0.1536,4.9997,0,0.4742,1.2931,0.5267,0.8459,0.1109
"HCT116",0.5664,0.2101,3.4601,0.6267,0.3587,0.5542,0.2996,0.678,0.05555,0.3113,4.9122,0.8268,3.3454,3.2013,0.1936,3.6651,0.1507,6.4469,1.9489,0.171,2.0303,1.092,0.6307,0.2184
"KYSE450",0.5514,NA,2.76,0.3495,1.3231,0.353,1.4272,0.3047,0.7975,1.8158,3.3199,0.09899,NA,2.1403,0.3005,1.4853,NA,5.5189,1.2877,0.3734,NA,0.5987,0.5079,1.4667
"NCIH28",1.0399,0.2426,3.0959,0.2016,1.1902,0.4339,1.327,0.5851,0.1084,1.7242,4.0381,0.1132,NA,1.549,0.2459,1.8972,0.7641,3.249,1.3218,0.161,1.0461,1.4364,0.3888,1.7382
"NCIH358",1.0482,0.4732,2.9418,0.1218,1.4357,0.3662,0.7506,0.8719,0.6911,1.6435,4.264,0.4633,NA,2.0796,0.7728,3.6668,0.5514,5.6597,2.4557,0.7734,1.9399,1.5223,1.3765,1.6179
"NCIH727",1.3035,0.5898,2.1313,0.1742,0.5375,0.4471,1.0985,1.1206,0.6485,1.3125,2.9172,0.2139,1.357,0.2574,0.2611,2.9449,0.315,1.9411,1.7299,0.1817,0.4526,1.3735,0.29,0.3191
"NCIH1299",1.2383,NA,3.5108,0.7558,0.2706,1.0899,1.4866,0.9098,0.4863,0.7984,3.6257,1.5557,NA,3.8423,1.249,2.7295,NA,5.549,3.1961,0.5758,2.203,1.9109,1.2805,0.7121
"SAOS2",1.8071,1.0258,2.9737,0,0.5612,0.2842,1.2774,0.8489,0.4832,0.6431,4.3266,0.4878,3.7048,3.5564,0.3765,0.104,0.1887,6.0694,0.2236,0.2537,1.8359,1.6125,1.49,0.2072
"LS411N",1.3972,NA,4.496,0.8759,0.04328,0.0771,0.2772,0.3309,0.8172,0.6636,4.8202,0.1615,NA,3.1476,1.1581,4.9922,NA,5.834,4.2582,2.1759,1.4663,1.4321,0.6282,0.3804
