"","ERBB2","FGFR1","FLT3"
"TCGA-3L-AA1B",0,0,0
"TCGA-4N-A93T",0,0,0
"TCGA-4T-AA8H",0,0,0
"TCGA-5M-AAT4",0,0,0
"TCGA-5M-AAT5",0,0,0
"TCGA-5M-AAT6",0,0,0
"TCGA-5M-AATA",0,0,0
"TCGA-5M-AATE",0,0,0
"TCGA-A6-2670",0,0,0
"TCGA-A6-2671",0,0,-1
"TCGA-A6-2672",0,0,0
"TCGA-A6-2674",0,0,0
"TCGA-A6-2675",0,0,0
"TCGA-A6-2676",0,0,0
"TCGA-A6-2677",0,0,0
"TCGA-A6-2678",0,0,0
"TCGA-A6-2679",0,0,0
"TCGA-A6-2680",0,0,0
"TCGA-A6-2681",0,0,0
"TCGA-A6-2682",0,0,0
"TCGA-A6-2683",0,0,0
"TCGA-A6-2684",0,0,0
"TCGA-A6-2685",0,0,0
"TCGA-A6-2686",0,0,0
"TCGA-A6-3807",0,0,0
"TCGA-A6-3808",0,0,0
"TCGA-A6-3809",0,0,0
"TCGA-A6-3810",0,0,0
"TCGA-A6-4105",0,0,0
"TCGA-A6-4107",0,0,0
"TCGA-A6-5656",0,0,0
"TCGA-A6-5657",0,0,0
"TCGA-A6-5659",0,0,0
"TCGA-A6-5660",0,0,1
"TCGA-A6-5661",0,0,0
"TCGA-A6-5662",0,0,0
"TCGA-A6-5664",0,0,0
"TCGA-A6-5665",0,0,0
"TCGA-A6-5666",0,0,0
"TCGA-A6-5667",0,0,0
"TCGA-A6-6137",0,0,0
"TCGA-A6-6138",0,0,0
"TCGA-A6-6140",0,0,0
"TCGA-A6-6141",0,0,0
"TCGA-A6-6142",0,0,0
"TCGA-A6-6648",0,0,0
"TCGA-A6-6649",0,0,0
"TCGA-A6-6650",0,0,0
"TCGA-A6-6651",0,0,0
"TCGA-A6-6652",0,0,0
"TCGA-A6-6653",0,0,0
"TCGA-A6-6654",0,0,0
"TCGA-A6-6780",0,0,0
"TCGA-A6-6781",0,0,0
"TCGA-A6-6782",0,0,0
"TCGA-A6-A565",0,0,0
"TCGA-A6-A566",0,0,0
"TCGA-A6-A567",0,0,0
"TCGA-A6-A56B",0,0,0
"TCGA-A6-A5ZU",0,0,0
"TCGA-AA-3488",0,0,0
"TCGA-AA-3489",0,0,0
"TCGA-AA-3492",0,0,0
"TCGA-AA-3494",0,0,0
"TCGA-AA-3495",0,0,0
"TCGA-AA-3496",0,0,0
"TCGA-AA-3502",0,0,0
"TCGA-AA-3506",0,0,0
"TCGA-AA-3509",0,0,0
"TCGA-AA-3510",0,0,0
"TCGA-AA-3511",0,0,0
"TCGA-AA-3514",0,0,0
"TCGA-AA-3516",0,0,0
"TCGA-AA-3517",0,0,1
"TCGA-AA-3518",0,0,0
"TCGA-AA-3519",0,0,0
"TCGA-AA-3520",0,0,0
"TCGA-AA-3521",0,0,0
"TCGA-AA-3522",0,0,0
"TCGA-AA-3524",1,-1,0
"TCGA-AA-3525",0,0,0
"TCGA-AA-3526",0,0,0
"TCGA-AA-3527",0,0,0
"TCGA-AA-3529",0,0,0
"TCGA-AA-3530",0,0,0
"TCGA-AA-3531",0,0,0
"TCGA-AA-3532",0,0,0
"TCGA-AA-3534",0,0,0
"TCGA-AA-3538",0,0,0
"TCGA-AA-3542",0,0,0
"TCGA-AA-3543",0,0,0
"TCGA-AA-3544",0,0,0
"TCGA-AA-3548",0,0,0
"TCGA-AA-3549",0,0,0
"TCGA-AA-3552",0,0,0
"TCGA-AA-3553",0,0,0
"TCGA-AA-3554",0,0,0
"TCGA-AA-3555",0,0,0
"TCGA-AA-3556",0,0,0
"TCGA-AA-3558",0,0,0
"TCGA-AA-3560",0,0,0
"TCGA-AA-3561",0,0,0
"TCGA-AA-3562",0,0,0
"TCGA-AA-3655",0,0,0
"TCGA-AA-3660",0,0,0
"TCGA-AA-3662",0,0,0
"TCGA-AA-3663",0,0,0
"TCGA-AA-3664",0,0,0
"TCGA-AA-3666",0,0,0
"TCGA-AA-3667",0,0,0
"TCGA-AA-3672",0,0,0
"TCGA-AA-3673",0,0,0
"TCGA-AA-3675",0,0,0
"TCGA-AA-3678",0,0,0
"TCGA-AA-3679",0,0,0
"TCGA-AA-3680",0,0,0
"TCGA-AA-3681",0,0,-1
"TCGA-AA-3684",0,0,0
"TCGA-AA-3685",0,0,0
"TCGA-AA-3688",0,0,0
"TCGA-AA-3692",0,0,0
"TCGA-AA-3693",0,0,0
"TCGA-AA-3695",0,0,0
"TCGA-AA-3696",0,0,0
"TCGA-AA-3697",0,0,0
"TCGA-AA-3710",0,0,0
"TCGA-AA-3712",0,0,0
"TCGA-AA-3713",0,0,0
"TCGA-AA-3715",0,0,0
"TCGA-AA-3811",0,0,0
"TCGA-AA-3812",0,0,0
"TCGA-AA-3814",0,0,0
"TCGA-AA-3818",0,0,0
"TCGA-AA-3819",0,0,0
"TCGA-AA-3821",0,0,0
"TCGA-AA-3831",0,0,0
"TCGA-AA-3833",0,0,0
"TCGA-AA-3837",0,0,0
"TCGA-AA-3841",0,0,0
"TCGA-AA-3842",0,0,0
"TCGA-AA-3844",0,0,0
"TCGA-AA-3845",0,0,0
"TCGA-AA-3846",0,0,0
"TCGA-AA-3848",0,0,0
"TCGA-AA-3850",0,0,0
"TCGA-AA-3851",0,0,0
"TCGA-AA-3852",0,0,0
"TCGA-AA-3854",0,0,0
"TCGA-AA-3855",0,0,0
"TCGA-AA-3856",0,0,0
"TCGA-AA-3858",0,0,0
"TCGA-AA-3860",0,0,0
"TCGA-AA-3864",0,0,0
"TCGA-AA-3866",0,0,0
"TCGA-AA-3867",0,0,0
"TCGA-AA-3869",1,0,0
"TCGA-AA-3870",0,0,0
"TCGA-AA-3872",1,0,0
"TCGA-AA-3875",1,0,0
"TCGA-AA-3877",0,0,0
"TCGA-AA-3930",0,0,0
"TCGA-AA-3939",0,0,0
"TCGA-AA-3941",0,0,0
"TCGA-AA-3947",0,0,0
"TCGA-AA-3949",0,0,0
"TCGA-AA-3950",0,0,0
"TCGA-AA-3952",0,0,0
"TCGA-AA-3955",0,0,0
"TCGA-AA-3956",0,0,0
"TCGA-AA-3966",0,0,0
"TCGA-AA-3968",0,0,0
"TCGA-AA-3971",0,0,0
"TCGA-AA-3972",0,0,0
"TCGA-AA-3973",0,0,0
"TCGA-AA-3975",0,0,0
"TCGA-AA-3976",0,0,0
"TCGA-AA-3977",0,0,0
"TCGA-AA-3979",0,0,0
"TCGA-AA-3982",0,0,0
